POI Id,Name,Favourite dish of your college,Largest value food order at your college,unofficial campus favorite restaurant,The official 12 AM craving / dish,Max number of orders in a week for a student in your college,Highest number of pizzas ordered on a single day,Highest number of biryanis ordered on a single day,Weblink,Masked Weblink
187045b5-a41c-4727-8dd7-bacdf696c2e8,Goa Medical College And Hospital,biryani,12915,Tato's Tiffin,burger,21,22,40,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/187045b5-a41c-4727-8dd7-bacdf696c2e8,https://tinyurl.com/22defgep
d95dbd46-ab33-489d-a1d7-f29e5de895b6,IIT Roorkee - I,roll,8566,Tanishas Royal Hyderabadi Biryani,pizza,15,32,47,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/d95dbd46-ab33-489d-a1d7-f29e5de895b6,https://tinyurl.com/2yme7s7k
9fe73d4b-5bbc-4fc3-969f-3814ac7eb21e,AIIMS Jodhpur,biryani,8814,Janta Sweet Home,pizza,25,29,29,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/9fe73d4b-5bbc-4fc3-969f-3814ac7eb21e,https://tinyurl.com/293lag9v
0c321e5b-fd7a-41cd-829c-d3fc560f5ae2,GMERS Medical College & Hospital,thali,12211,Jagdish Foods Pvt Ltd,pizza,23,44,25,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/0c321e5b-fd7a-41cd-829c-d3fc560f5ae2,https://tinyurl.com/2xtndqnh
d5794465-4363-415d-9aa1-0a63d5b82845,Indian School Of Business Mohali,roll,10416,McDonald's,pizza,22,30,21,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/d5794465-4363-415d-9aa1-0a63d5b82845,https://tinyurl.com/2cr8bqrk
c0e3lvo9tt4h2ptrvgrg,IIM Bangalore,biryani,17968,California Burrito,burger,20,23,44,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0e3lvo9tt4h2ptrvgrg,https://tinyurl.com/2dbd7rsx
34f759bb-0766-4ed1-953a-4986e61b359f,Indian Institute of Science Education and Research Mohali,pizza,8705,Rominus Pizza And Burger,pizza,16,59,22,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/34f759bb-0766-4ed1-953a-4986e61b359f,https://tinyurl.com/22jehdgz
5401c47c-0da7-4591-a529-a5eed62d4680,KLE University,biryani,7642,Domino's Pizza,pizza,17,23,57,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/5401c47c-0da7-4591-a529-a5eed62d4680,https://tinyurl.com/28dlmkgv
753d7ed9-904c-4f4d-8300-f5637f1c049c,AIIMS Bhopal,biryani,7932,Burger King,burger,16,23,52,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/753d7ed9-904c-4f4d-8300-f5637f1c049c,https://tinyurl.com/2be3pwwe
bui5vm6pej7fsal2q0f0,Maulana Azad Medical College (MAMC),biryani,15147,Burger King,burger,25,27,39,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/bui5vm6pej7fsal2q0f0,https://tinyurl.com/24a67pno
202fa75d-3f24-4c05-b170-e78a87d7b52b,King Edward Memorial Hospital and Seth Gordhandas Sunderdas Medical College,burger,9699,McDonald's,burger,25,21,30,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/202fa75d-3f24-4c05-b170-e78a87d7b52b,https://tinyurl.com/2b23m5ss
528dcdc6-b327-44c1-b356-ef56f6920d07,National Institute of Mental Health and Neurosciences,biryani,15600,A2B - Adyar Ananda Bhavan,pizza,32,16,40,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/528dcdc6-b327-44c1-b356-ef56f6920d07,https://tinyurl.com/22kf45un
cf8975fd-af10-4303-8041-eefd56d7af9d,IIM Calcutta,biryani,10393,Domino's Pizza,pizza,20,36,32,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/cf8975fd-af10-4303-8041-eefd56d7af9d,https://tinyurl.com/24cp3t5l
500cae3b-32b1-49a3-9e25-b0ed24bd3965,IIT Kanpur,biryani,11294,Domino's Pizza,pizza,16,47,80,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/500cae3b-32b1-49a3-9e25-b0ed24bd3965,https://tinyurl.com/25j6l538
c0v8dqbnrs5psrn7j3o0,Government Medical Dental College and Civil Hospital,burger,8672,McDonald's,burger,15,37,23,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0v8dqbnrs5psrn7j3o0,https://tinyurl.com/22yjlokc
c0dev3omlbnfmjbvg8q0,Saveetha Institute of Medical And Technical Sciences,biryani,9592,McDonald's,pizza,21,18,39,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0dev3omlbnfmjbvg8q0,https://tinyurl.com/2aym6rxy
3362c358-cd71-4eee-a1f2-7613913d25a6,Lady Hardinge Medical College & Hospital,burger,13125,McDonald's,burger,19,17,25,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/3362c358-cd71-4eee-a1f2-7613913d25a6,https://tinyurl.com/22nf54f3
91e286f5-4251-40b6-94cc-7924f341ccd1,Travancore Medicity Medical College Hospital,biryani,7360,AL Hayat Pallimukku,burger,21,21,29,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/91e286f5-4251-40b6-94cc-7924f341ccd1,https://tinyurl.com/29nvhz3u
c656bc70-8446-4931-be26-17de76805ef3,Topiwala National Medical College & BYL Nair Charitable Hospital,burger,11145,McDonald's,burger,20,16,29,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c656bc70-8446-4931-be26-17de76805ef3,https://tinyurl.com/2chz9acl
fc5ac7a7-8105-49c2-86df-b2446eadf19d,Government Medical & Dental College Nagpur,biryani,16824,Burger King,burger,17,25,43,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/fc5ac7a7-8105-49c2-86df-b2446eadf19d,https://tinyurl.com/2dezzslj
b5e828be-9ef2-41e4-add4-1fd57a79b0b6,Sanjay Gandhi Postgraduate Institute of Medical Sciences(SGPGI),pizza,8865,Madhurima Veg,pizza,19,28,20,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/b5e828be-9ef2-41e4-add4-1fd57a79b0b6,https://tinyurl.com/24d68o84
d111f70b-cf21-4e7b-afc3-29984bb34456,Geetanjali University,pizza,8603,Burger Farm,pizza,16,29,15,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/d111f70b-cf21-4e7b-afc3-29984bb34456,https://tinyurl.com/2aj87n2u
080a6876-b66b-4ef2-be52-4a7edc4921fa,Savitribai Phule Pune University,burger,13068,Burger King,burger,21,21,26,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/080a6876-b66b-4ef2-be52-4a7edc4921fa,https://tinyurl.com/2xneh3se
61e5eb77-2825-4209-8795-eb24352bf078,School of Planning and Architecture Vijayawada (SPA),biryani,9530,Bengaluru Bhavan,burger,24,18,36,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/61e5eb77-2825-4209-8795-eb24352bf078,https://tinyurl.com/27mshdby
c1fa9e5a-eebd-4b1f-9c24-7cd932136044,Institute of Management Technology Ghaziabad,pizza,10838,Domino's Pizza,pizza,16,27,24,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c1fa9e5a-eebd-4b1f-9c24-7cd932136044,https://tinyurl.com/2bbowazp
224e7022-e609-464b-b817-1ef16ed6def5,AIIMS Patna,biryani,8199,Bikkgane Biryani,pizza,19,23,36,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/224e7022-e609-464b-b817-1ef16ed6def5,https://tinyurl.com/25xz84r5
a359c6db-9374-4d24-83bc-4d8fec0ede34,Government Medical College Baroda,pizza,10303,Chai CupPi,pizza,18,50,21,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/a359c6db-9374-4d24-83bc-4d8fec0ede34,https://tinyurl.com/2dmuef4y
c4cf51eb-ab78-494d-bb02-958ca2077637,National Law School of India University(NLSIU),burger,11466,California Burrito,burger,19,24,19,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c4cf51eb-ab78-494d-bb02-958ca2077637,https://tinyurl.com/27dx4rjt
991e470f-9a9c-4171-9379-2311d001fad0,AIIMS Gorakhpur,burger,7663,Burger King,burger,16,37,35,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/991e470f-9a9c-4171-9379-2311d001fad0,https://tinyurl.com/26ss8qjg
c61093ee-be95-4886-af17-90ef70c22c2b,University Of Lucknow,biryani,13633,Rominus Pizza And Burger,pizza,16,27,25,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c61093ee-be95-4886-af17-90ef70c22c2b,https://tinyurl.com/2yklt35k
c3455135-ddea-4102-b733-42ce756029ad,Dr Ram Manohar Lohia College & Hospital,biryani,7447,Madhurima Veg,pizza,27,25,17,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c3455135-ddea-4102-b733-42ce756029ad,https://tinyurl.com/224qp46x
dec369cb-e599-4b1e-bf53-6fffbef17e2e,Chandigarh Group of Colleges,pizza,8577,Captain Sam's Pizza,pizza,15,269,20,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/dec369cb-e599-4b1e-bf53-6fffbef17e2e,https://tinyurl.com/292o8ecu
a84f33d4-e44b-478b-8e9e-e1da53b11e6e,Ganesh Shankar Vidyarthi Memorial Medical College(GSVM Medical College),pizza,7183,Rominus Pizza And Burger,pizza,15,35,25,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/a84f33d4-e44b-478b-8e9e-e1da53b11e6e,https://tinyurl.com/2c8b4xp7
79bca31d-f9d5-4c52-a8c7-2ddc70da6890,Sawai Man Singh Medical College,pizza,11783,Rominus Pizza and Burger,pizza,15,23,16,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/79bca31d-f9d5-4c52-a8c7-2ddc70da6890,https://tinyurl.com/2y4c9pa6
c0v8cmbnrs5psrn7j38g,BHU Medical College And Hospital,biryani,15005,Roma's Cafe Diner,burger,24,15,17,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0v8cmbnrs5psrn7j38g,https://tinyurl.com/28uu3cyf
bs28lvqq624i2n3lmef0,Equinox Business Park,burger,15581,McDonald's,burger,23,18,16,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/bs28lvqq624i2n3lmef0,https://tinyurl.com/2df38e86
151e7916-15a9-4458-8cf5-a3dff82dbcac,Krishna Institute of Medical Sciences,burger,8564,McDonald's,pizza,19,15,15,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/151e7916-15a9-4458-8cf5-a3dff82dbcac,https://tinyurl.com/296gycz5
a26fce1a-01f4-4650-b686-ccc5556d8f3f,Biju Patnaik University of Technology Rourkela,biryani,8845,One Bite,pizza,32,20,48,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/a26fce1a-01f4-4650-b686-ccc5556d8f3f,https://tinyurl.com/2a3gaur3
7353cbe6-d94a-4ead-bdb9-17842ab4c8f8,Veermata Jijabai Technological Institute (VJTI),pizza,8067,La Pino'z Pizza,pizza,23,25,16,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/7353cbe6-d94a-4ead-bdb9-17842ab4c8f8,https://tinyurl.com/2dhm4hn3
c0delo0mlbnfmjbvfvt0,IIM Mumbai,burger,7077,McDonald's,burger,25,29,28,https://f20230152.github.io/CAMPUS-WORKING-FINAL/#/c0delo0mlbnfmjbvfvt0,https://tinyurl.com/24b526cr
